Id,age,job,marital,education,default,balance,housing,loan,contact,month,duration,campaign,pdays,previous,y
1002,44,technician,single,secondary,no,29.0,yes,no,cellular,may,151,1,5000,0,no
1003,33,entrepreneur,married,secondary,no,2.0,yes,yes,cellular,may,76,1,5000,0,no
1004,47,blue-collar,married,secondary,no,1506.0,yes,no,cellular,may,92,1,5000,0,no
1005,33,blue-collar,single,secondary,no,1.0,no,no,cellular,may,198,1,5000,0,no
1006,35,management,married,tertiary,no,231.0,yes,no,cellular,may,139,1,5000,0,no
1007,28,management,single,tertiary,no,447.0,yes,yes,cellular,may,217,1,5000,0,no
1011,41,admin.,divorced,secondary,no,270.0,yes,no,cellular,may,222,1,5000,0,no
1012,29,admin.,single,secondary,no,390.0,yes,no,cellular,may,137,1,5000,0,no
1013,53,technician,married,secondary,no,6.0,yes,no,cellular,may,517,1,5000,0,no
1014,58,technician,married,secondary,no,71.0,yes,no,cellular,may,71,1,5000,0,no
1015,57,services,married,secondary,no,162.0,yes,no,cellular,may,174,1,5000,0,no
1016,51,retired,married,primary,no,229.0,yes,no,cellular,may,353,1,5000,0,no
1017,45,admin.,single,secondary,no,13.0,yes,no,cellular,may,98,1,5000,0,no
1018,57,blue-collar,married,primary,no,52.0,yes,no,cellular,may,38,1,5000,0,no
1019,60,retired,married,primary,no,60.0,yes,no,cellular,may,219,1,5000,0,no
1020,33,services,married,secondary,no,0.0,yes,no,cellular,may,54,1,5000,0,no
1021,28,blue-collar,married,secondary,no,723.0,yes,yes,cellular,may,262,1,5000,0,no
1022,56,management,married,tertiary,no,779.0,yes,no,cellular,may,164,1,5000,0,no
1023,32,blue-collar,single,primary,no,23.0,yes,yes,cellular,may,160,1,5000,0,no
1024,25,services,married,secondary,no,50.0,yes,no,cellular,may,342,1,5000,0,no
1025,40,retired,married,primary,no,0.0,yes,yes,cellular,may,181,1,5000,0,no
1026,44,admin.,married,secondary,no,-372.0,yes,no,cellular,may,172,1,5000,0,no
1027,39,management,single,tertiary,no,255.0,yes,no,cellular,may,296,1,5000,0,no
1028,52,entrepreneur,married,secondary,no,113.0,yes,yes,cellular,may,127,1,5000,0,no
1029,46,management,single,secondary,no,-246.0,yes,no,cellular,may,255,2,5000,0,no
1030,36,technician,single,secondary,no,265.0,yes,yes,cellular,may,348,1,5000,0,no
1031,57,technician,married,secondary,no,839.0,no,yes,cellular,may,225,1,5000,0,no
